timestamp,BTC,ETH,POL,SOL,XRP,DOGE,BNB
2025-04-19T04:30:08.101Z,84984.31,1609.72,0.19,138.85,2.09,0.16,593.46
2025-04-19T04:30:48.090Z,85008.10,1609.75,0.19,138.92,2.09,0.16,593.46
2025-04-19T04:31:28.136Z,85008.10,1609.75,0.19,138.92,2.09,0.16,593.46
2025-04-19T04:32:08.133Z,85047.34,1610.17,0.19,138.99,2.09,0.16,593.92
2025-04-19T04:32:48.168Z,85187.24,1610.89,0.19,139.07,2.09,0.16,593.96
2025-04-19T04:33:28.195Z,85187.24,1610.89,0.19,139.07,2.09,0.16,593.96
2025-04-19T04:34:08.455Z,85170.09,1610.30,0.19,139.04,2.09,0.16,593.96
2025-04-19T04:34:48.287Z,85149.00,1610.30,0.19,139.01,2.09,0.16,593.99
2025-04-19T04:35:28.295Z,85149.00,1610.30,0.19,139.01,2.09,0.16,593.99
2025-04-19T04:36:08.379Z,85149.89,1606.14,0.19,139.01,2.09,0.16,594.08
2025-04-19T04:36:48.355Z,85143.32,1605.82,0.19,138.97,2.09,0.16,594.09
2025-04-19T04:37:28.456Z,85143.32,1605.82,0.19,138.97,2.09,0.16,594.09
2025-04-19T04:38:08.445Z,85136.24,1605.68,0.19,138.81,2.09,0.16,594.09
